도로코드,보행안전지수,accident_count,mapped_link_count
2174,-6.682075307,7,8
2175,-7.165187811,5,4
2176,-3.396593157,0,3
2177,-4.881697875,2,3
2178,-3.7362959,0,3
2179,-2.548037352,2,6
2180,11.93518645,1,10
2181,7.109520441,3,5
2182,2.646675041,0,5
2183,6.748559585,0,4
2184,2.700155109,0,3
2185,0.740771058,0,3
2186,-9.598581424,0,3
2187,-7.516554693,3,3
2188,-4.339914955,0,4
2189,-14.16573883,0,3
2190,-8.542298573,0,4
2191,-13.65731467,1,5
2192,-13.17742274,0,4
2193,-12.89504334,2,3
2194,-7.461140827,0,2
2195,-10.43521604,1,3
2196,-10.59370516,0,4
2197,-10.92030061,0,4
2198,-13.36729135,0,4
2199,-12.3465834,1,6
2200,-11.46260251,1,2
2201,-13.2791418,1,8
2202,-12.88669315,0,2
2203,-11.57540483,2,1
2204,1.016945262,1,2
2205,-12.26210319,2,6
2206,-13.53061877,4,4
2207,-10.74313853,8,5
2208,2.000120281,0,4
2209,-5.144129447,1,2
2210,-9.39981778,0,5
2211,-12.23034851,0,5
2212,-9.831625654,2,9
2213,-9.422977777,0,2
2214,-9.269475568,0,3
2215,-11.60465118,0,6
2216,-14.45196312,0,5
2218,-14.16060739,0,5
2219,-13.80149163,2,6
2220,-16.44299794,1,8
2221,-1.573441027,1,4
2222,-8.811707855,0,3
2223,-12.12728934,1,2
2224,-12.55299916,0,3
2225,-7.492444966,0,4
2226,-13.16292995,0,4
2227,-12.7120054,0,8
2228,-13.5892753,6,3
2229,-11.47491903,0,5
2230,-9.711419775,0,5
2231,-13.2555014,1,6
2232,-13.52495282,0,5
2233,-6.549494808,0,7
2234,-11.0012852,0,3
2235,-10.73938357,1,3
2236,-7.043178042,0,5
2237,-3.06050001,0,2
2238,-1.560762942,3,10
2239,2.574761691,0,7
2240,0.84204569,6,4
2241,-8.286829154,0,4
2242,-14.54510558,1,8
2243,-8.190220663,1,5
2244,-9.192246864,0,5
2245,-13.40051335,1,6
2246,-12.57313526,0,3
2247,-13.09488103,0,6
2248,-12.57417932,0,4
2249,-14.14586298,0,1
2250,-14.0133771,1,6
2251,-14.29745419,1,4
2252,-11.9378808,1,3
2253,-11.0872328,4,4
2254,-3.992616484,2,4
2255,-10.15997344,0,5
2256,0.123514642,2,6
2257,-13.46326735,0,4
2258,-8.256079106,3,4
2259,-9.656585814,9,4
2260,-11.04120272,2,6
2261,-14.33800029,1,4
2262,-13.73536027,0,5
2263,-9.989241619,1,2
